01:42:35:908016|0057-00001:PSH::VarName[CSPORT],VarValue[13000],Type[3],Desc[]
01:42:35:908021|0055-00001:PSH::VarName[ENABLESSL],VarValue[],Type[3],Desc[]
01:42:36:117398|0085-00001:PSH::VarName[readiness.cluster_notification.enabled],VarValue[1],Type[3],Desc[]
01:42:36:117939|0074-00001:PSH::VarName[insight.file_export.enabled],VarValue[1],Type[3],Desc[]
01:42:36:118964|0074-00001:PSH::VarName[executor.monitoring.enabled],VarValue[1],Type[3],Desc[]
01:42:36:119009|0092-00001:PSH::VarName[executor.monitoring.show_locked_synchronizers],VarValue[0],Type[3],Desc[]
01:42:36:119146|0080-00001:PSH::VarName[insight.prometheus.exporter.port],VarValue[-1],Type[3],Desc[]
01:42:36:119182|0086-00001:PSH::VarName[executor.monitoring.warning_threshold],VarValue[120],Type[3],Desc[]
01:42:36:119269|0069-00001:PSH::VarName[resource_probe.enabled],VarValue[1],Type[3],Desc[]
01:42:36:119303|0081-00001:PSH::VarName[executor.monitoring.poll_interval],VarValue[60],Type[3],Desc[]
01:42:36:119337|0083-00001:PSH::VarName[application_server.plugins_dir],VarValue[plugins],Type[3],Desc[]
01:42:36:119434|0057-00001:PSH::VarName[currency],VarValue[ALL],Type[3],Desc[]
01:42:36:119469|0083-00001:PSH::VarName[executor.monitoring.dump_interval],VarValue[3600],Type[3],Desc[]
01:42:36:119763|0076-00001:PSH::VarName[executor.core.keepalive_time],VarValue[-1],Type[3],Desc[]
01:42:36:119874|0071-00001:PSH::VarName[executor.core.pool_size],VarValue[-1],Type[3],Desc[]
01:42:36:119910|0058-00001:PSH::VarName[source],VarValue[SOURCE],Type[3],Desc[]
01:42:36:119992|0075-00001:PSH::VarName[insight.metric_set.black_list],VarValue[],Type[3],Desc[]
01:42:36:120031|0075-00001:PSH::VarName[executor.core.max_pool_size],VarValue[-1],Type[3],Desc[]
01:42:36:120064|0064-00001:PSH::VarName[readiness.enabled],VarValue[1],Type[3],Desc[]
01:42:36:120093|0062-00001:PSH::VarName[insight.enabled],VarValue[1],Type[3],Desc[]
01:42:52:609866|0175-00076:APP: Application {INFO} Action {START} Type {BondPriceEnhancer} Version {0.0.1} Description {Simple ION 2.0 Bond Price Application} ReleaseDate {na} ION20Version {4.0.2}
01:42:52:609962|0056-00076:APP: Application {INFO} Action {Starting Services}
01:42:52:619721|0108-00076:BOOT: {INFO} Action {********************************************************************************}
01:42:52:619779|0108-00076:BOOT: {INFO} Action {Launching ION20 Framework} Version {4.0.2} Build timestamp {2024-09-27T14:38:48Z}
01:42:52:619798|0108-00076:BOOT: {INFO} Action {********************************************************************************}
01:42:52:619930|0113-00076:BOOT: Service Manager {INFO} Action {Starting} Classpath {target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar}
01:42:52:627066|0305-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.mkv_wrapper.guice.MkvProviderModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:627925|0318-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.log.adapters.mkv.SmartMkvTracerFactoryModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:628586|0314-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.trace.guice.TracerDefaultArgumentsModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:629336|0298-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.trace.guice.TracerModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:629903|0305-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.mkv_wrapper.guice.MkvInstanceModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:630535|0304-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.mkv_wrapper.guice.MkvWrapperModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:631136|0336-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.configuration.adapters.mkv.MkvConfigurationValueProviderModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
01:42:52:631678|0317-00076:BOOT: Service Manager {INFO} Action {Module} Class {com.iontrading.isf.configuration.guice.ConfigurationCoreModule} Path {file:/C:/Users/avirat.sharma/OneDrive%20-%20ION/Desktop/Work/LDP-Practice/LDP_Onboarding_Assignment/COOL_Onboarding_Activity/target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar} Version {null}
